poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Sant Feliu de Llobregat,Room escape Sant Feliu,http://www.roomescapesantfeliu.com,Advocats,,5,,"41,38326930","2,04836750",no,2015-11-08,Nadgi,3,,,no,,
Sant Just d'Esvern,Skp game,http://www.skp-game.com/,Atahualpa,,,,"41,37972050","2,06893130",si,,,,,,no,,
Sant Just d'Esvern,Skp game,http://www.skp-game.com/,Biblioteca,,,,"41,37972050","2,06893130",si,,,,,,no,,
Sant Just d'Esvern,Skp game,http://www.skp-game.com/,Lancelot,,,,"41,37972050","2,06893130",si,,,,2 salas,,no,,
Sant Pere de Torello (Osona),Fluwin,http://www.fluwimoci.cat/,El secret de Sant Jordi,,,,"41,92929150","2,25291870",si,,,,,,no,,
Sant Vicenç dels Horts,Escape to SantVi,https://www.escapetosantvi.com/,La habitación de Nelly,,,,"41,39116300","2,01087930",si,,,,,,no,,
Sant Vicenç dels Horts,Escape to SantVi,https://www.escapetosantvi.com/,Charly el travieso,,,,"41,39116300","2,01087930",no,,,,,,no,,
Santa Coloma de Gramanet,Clue Hunter,http://www.cluehunterbarcelona.com/,El juego de Seed: Sótano,,,,"41,44898150","2,21208090",si,,,,,,no,,
Santa Coloma de Gramanet,Clue Hunter,http://www.cluehunterbarcelona.com/,Asesinato en el tren,,5,,"41,44898150","2,21208090",si,,,,,,no,,
Santander,Xkapa,https://xkapa.com/,La comisaria,,,,,,si,,,,,,no,,
Santander,Xkapa,https://xkapa.com/,La comisaria XL,,,,,,si,,,,,,no,,
Santiago de Compostela,Room escape compostela,-,La maldición de amy rosse,,,,,,si,,,,,,no,,
Santiago de Compostela,Room escape compostela,-,neutraliza la bomba,,,,,,si,,,,,,no,,
Sevilla,La busqueda,https://www.la-busqueda.com/,La vacuna del Dr. Painokovic,,6,,"37,37294200","-5,99745870",si,,,,,,,,
Sevilla,La busqueda,https://www.la-busqueda.com/,La joya de Takum,,6,,"37,37294200","-5,99745870",si,,,,,,,,
Sevilla,La busqueda,https://www.la-busqueda.com/,Poltergeist,,6,,"37,37294200","-5,99745870",,,,,,,,,
Sitges,Room escape Sitges,http://roomescapesitges.com/,El misterio del archivo abandonado,,,,"41,24055130","1,81064030",si,2016-10-12,Fibers,"3,75",,,no,,
Sitges,Sitgeskape,http://www.sitgescape.com/,Horror movie,Terror,5,,"41,23861490","1,80533600",si,2017-10-13,Fibers,2,,,no,,
Sitges,Sitgeskape,http://www.sitgescape.com/,Barco fantasma,,,,"41,23861490","1,80533600",no,,,,,,no,,
Tarragona,Fix the history,http://www.fixthehistory.com/,Acadèmia,,6,,,,si,,,,,,no,,
Tarragona,Habitakulum,http://habitakulum.com/ca/,L'antídot de Mr. Henry,,6,,"41,12050480","1,25074880",si,,,,,,,,
Tarragona,Habitakulum,http://habitakulum.com/ca/,El misteri dels monjos de la Cartoixa,,6,,"41,12050480","1,25074880",no,,,,,,,,
Terrassa,Cafè misteri,http://cafemisteri.cat/,,,,,"41,57052490","2,00878990",si,,,,,,no,,
Terrassa,Vive tu escape,http://www.vivetuescape.com/,Aventura pirata: El tesoro de drake,,6,,"41,52980700","2,03466530",si,,,,,,no,,
Terrassa,Vive tu escape,http://www.vivetuescape.com/,Brujeria,,6,,"41,52980700","2,03466530",no,,,,,,no,,
Terrassa,Vive tu escape,http://www.vivetuescape.com/,Boom escape,,12,,"41,52980700","2,03466530",,,,,,,,,
Tenerife,Exciting Game,http://excitinggame.es/es/,El mito del Teide,,6,,"28,05978970","-16,73567470",si,2015-08-23,Nadgi,3,,,no,,
Tenerife,Exciting Game,http://excitinggame.es/es/,El secreto del rey Guanche,,6,,"28,05978970","-16,73567470",si,,,,,,no,,
Tenerife,The Escape Area,http://www.theescapearea.com/,El apartamento,,5,,"28,35397480","-16,37264210",si,,,,,,no,,
Valladolid,Break the wall,https://www.breakthewall.es/,El misterio de Oberón,,6,,"41,64877600","-4,71748570",si,,,,,,,,
Vendrell,Escapastic,http://www.escapastic.com/,El laboratorio del Dr. Strauss,,,,"41,21851330","1,52898340",si,,,,,,no,,
Vendrell,Escapastic,http://www.escapastic.com/,El museo más peculiar del mundo,,,,"41,21851330","1,52898340",no,,,,,,no,,
Vendrell,Escapastic,http://www.escapastic.com/,Hospital horror story,Terror,,,"41,21851330","1,52898340",no,,,,,,no,,
Vic,Elementary,http://www.elementary.cat/,Sherlock Holmes: l'hora final,,6,,"41,93062960","2,25514230",si,,,,,,,,
Vic,Fluwim,http://www.fluwimoci.cat/es/,El secret de Sant Jordi,,7,,,,si,,,,,,no,,
Vic,Faif,http://escapefaif.com/,La taverna,,6,,"41,93121200","2,25525130",si,,,,,,no,,
Vilafranca del Penedès,Can Bruna,http://canbruna.cat/,Can Bruna,,5,,"41,34817870","1,70237110",si,2016-07-24,Alcaparrones,"4,5",,,no,,
Vilanova i la Geltrú,Too late room escape,http://www.toolateroomescape.com/,Sanatorio,,,,"41,22365060","1,73504400",no,,,,,,,,
Vilanova i la Geltrú,Scaparium,http://scaparium.com/,El robo,,,,"41,22527270","1,72093460",si,2016-03-05,Alcaparrones,"3,75",,,no,,
Vilanova i la Geltrú,Scaparium,http://scaparium.com/,Franky Resurrection,,,,"41,22527270","1,72093460",si,2017-04-09,Alcaparrones,"3,75",,,no,,
Vilanova i la Geltrú,Scaparium,http://boomescape.com,Boom Escape,,6,,"41,22527270","1,72093460",si,,,,,,no,,
Vitoria-Gasteiz,Kode Room Escape,http://koderoomescape.com/,El caso Mortenson,,6,,"42,85079900","-2,68280100",si,2017-08-10,Nadgi,"3,75",,,no,,
Zaragoza,Locked,http://lockedzgz.com/,Sherlocked,,,,"41,67242450","-0,88848880",si,,,,,,no,,
Zaragoza,Locked,http://lockedzgz.com/,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
,,,,,,,,,no,,,,,,,,
