poblacion,sitio,web,juego,tematica,max_jugadores,rango_precio,latitud,longitud,publicar,fecha,jugadores,valoracion,observaciones,foto,Team building,Personas,Pagina
Barcelona,Espaniq,http://espaniq.es,El maníaco,,7,,"41,39992500","2,16127220",no,2015-06-13,Alcaparrones,2,,,no,,
Barcelona,Espaniq,http://espaniq.es,La cárcel,,7,,"41,39992500","2,16127220",no,,,,,,no,,
Barcelona,Fear escape room,https://fearescaperoom.com,Parasite outbreak,,7,,"41,42083500","2,17125330",si,,,,,,,,
Barcelona,Habitación 73,http://www.habitacion73.com,Habitación 73,,6,,"41,40744300","2,15689840",si,2015-06-14,Nadgi,"3,5",,,no,,
Barcelona,Horror Box,http://www.horrorbox.es/producto/jigsaw-escape-room/,Jigsaw,Terror,6,,"41,41087110","2,17847004",si,2016-05-01,Nadgi,4,,,no,,
Barcelona,Horror Box,http://www.horrorbox.es/producto/ouija-escape-room/,Ouija,Terror,6,,"41,41087110","2,17847004",si,2016-06-19,Nadgi,"4,5",,,no,,
Barcelona,Horror Box,http://www.vivetuentierro.com/,Catalepsia,,2,,"41,41087110","2,17847004",si,,,,,,,,
Barcelona,Inmersion room escape,http://www.escaperoomimmersion.com/,,,6,,"41,37825200","2,12833430",si,,,,,,,,
Barcelona,Intramuros,http://intramurosroomescape.es/,Necronomicón,,6,,"41,41149770","2,18036210",si,,,,,,no,,
Barcelona,Intrappola. To,http://intrappola.to/reservation/barcelona/,Prison room,,6,,"41,40379700","2,17871160",si,,,,,,,,
Barcelona,Intrappola. To,http://intrappola.to/reservation/barcelona/,Sacrilegium,,6,,"41,40379700","2,17871160",si,,,,,,,,
Barcelona,Intringulis,http://www.intringulisbcn.com/,Petit Piaf Hotel,,5,,"41,42604550","2,18893150",si,2016-11-20,Alcaparrones,"4,25",,,no,,
Barcelona,Kessler Galimany,http://galimany.com/room-escape,,,6,,"41,37493980","2,13571550",si,2017-03-05,Alcaparrones,4,,,no,,
Barcelona,Kidnapped in BCN,http://www.kidnappedinbcn.com/,El secuestro,,5,,"41,37928560","2,12316360",si,2017-05-07,Alcaparrones,"4,5",,,no,,
Barcelona,Komnata,http://komnataquest.es/barcelona/,Castillo Sant'Angelo,,5,,"41,38623400","2,17851930",si,,,,,,,,
Barcelona,Komnata,http://komnataquest.es/barcelona/,Siete placeres del pecado,,5,,"41,38623400","2,17851930",si,,,,,,,,
Barcelona,La Sala,http://lasaladeescape.com/,Sala 1,,7,,"41,37569010","2,13751580",si,2016-06-25,Alcaparrones,"3,5",,,no,,
Barcelona,Limit Room Escape,http://www.limitroomescape.com/,,,5,,"41,44218400","2,17456700",no,,,,,,no,,
Barcelona,Lock-clock,http://lock-clock.com/,El secreto de Gaudi,,5,,"41,38619900","2,17129630",si,,,,,,no,,
Barcelona,Lock-clock,http://lock-clock.com/,Tesoro azteca,,5,,"41,38619900","2,17129630",si,,,,,,no,,
Barcelona,Lock-clock,http://lock-clock.com/,Fiesta after,,5,,"41,38619900","2,17129630",no,,,,,,no,,
Barcelona,Lostroom,http://lostroombcn.com,La quest cosmos,,6,,"41,39433320","2,17616360",si,,,,,,no,,
Barcelona,Lostroom,http://lostroombcn.com,La fiesta de los zombies,Terror,6,,"41,39433320","2,17616360",si,,,,,,no,,
Barcelona,Lostroom,http://lostroombcn.com,Alicia en el pais de las maravillas,,6,,"41,39433320","2,17616360",si,2017-01-07,Bailongos,3,,,no,,
Barcelona,Magic escape,http://www.magicescape.es/,,,10,,"41,39496050","2,16418550",si,2016-12-08,Alcaparrones,3,,,no,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,Prisioneros de Alkaban,,4,,"41,38909590","2,17311740",si,,,,,,,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,Sherlock Holmes contra el diablo londinense,,4,,"41,38909590","2,17311740",si,,,,,,,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,La mazmorra:la última partida,,4,,"41,39189810","2,17375610",si,,,,,,,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,"Gangsters: dineros, arnas y alcohol",,4,,"41,39189810","2,17375610",si,,,,,,,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,Zen room,,4,,"41,39189810","2,17375610",si,,,,,,,,
Barcelona,Maximum escape,https://barcelona.maximumescape.com/es,Refugio 27,,5,,"41,39189810","2,17375610",si,,,,,,,,
Barcelona,Mistery plan,http://www.misteryplan.es,La maldición de Tutankamon,,7,,,,si,,,,montaje en casa,,no,,
Barcelona,Mistery plan,http://www.misteryplan.es,CORRUPTOPOLY$,,,,,,si,,,,montaje en casa,,no,,
